id:31 user_id:wmMrEfPwAAuyibAuXlURqCCFB7nZHtfg time:05:44:50 message:电池质保多久
id:30 user_id:unknown time:05:44:25
id:29 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:05:42:13 message:dx12电池适合那些使用场景
id:28 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:05:36:04 message:电池多久到货
id:27 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:05:35:46 message:dx12电池适合那些使用场景
id:26 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:05:30:30 message:电池多久到货
id:25 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:05:27:53 message:电池多久到货
id:24 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:05:27:36 message:dx12电池适合那些使用场景
id:23 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:04:37:50 message:dx12电池适合那些使用场景
id:22 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:04:32:49 message:电池多久到货
id:21 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:04:32:36 message:电池多就到货
id:20 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:04:31:23 message:部分货品的批次号标识不清，建议核查并调整管理。
id:19 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:01:55:27 message:部分货品的批次号标识不清，建议核查并调整管理。
id:18 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:01:54:06 message:我上周订购的一批电池，还没发货，什么时候发货
id:17 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:01:51:02 message:我上周订购的一批电池，还没发货，什么时候发货
id:16 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:01:45:26 message:我上周订购的一批电池，还没发货，什么时候发货
id:15 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:13:34:29 message:我上周订购的一批电池，还没发货，什么时候发货
id:14 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:12:28:37 message:我上周订购的一批电池，还没发货，什么时候发货
id:13 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:12:20:07 message:我上周订购的一批电池，还没发货，什么时候发货
id:12 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:12:09:05 message:我上周订购的一批电池，还没发货，什么时候发货
id:11 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:12:04:21 message:我上周订购的一批电池，还没发货，什么时候发货
id:10 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:11:53:53 message:我上周订购的一批电池，还没发货，什么时候发货
id:9 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:11:53:21 message:我的货什么时候发货呢
id:8 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:11:52:58 message:你们最近的仓储如何
id:7 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:11:42:25 message:你们最近的仓储如何
id:6 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:11:41:56 message:新款电池的研发进展如何？能否提前了解一些技术亮点？  
id:5 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:08:21:18 message:新款电池的研发进展如何？能否提前了解一些技术亮点？  
id:4 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:07:42:18 message:新款电池的研发进展如何？能否提前了解一些技术亮点？  
id:3 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:07:42:00 message:现在的产品质量一般啊
id:2 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:07:41:40 message:部分货品的批次号标识不清，建议核查并调整管理。
id:1 user_id:wmMrEfPwAAMFmF4HYyJKvQ3x452DEExg time:07:10:54 message:部分货品的批次号标识不清，建议核查并调整管理。
